term1,term2,clust
871,4262,3
871,4350,3
871,4357,13
871,4378,11
871,4400,3
871,4411,1
871,4426,8
871,4572,2
871,4633,6
871,4640,4
871,4642,5
871,4693,1
871,4696,2
871,4718,4
871,4741,2
871,4804,15
871,4846,4
871,4907,5
871,4910,3
871,4913,2
871,4939,2
871,4990,4
871,5027,5
871,5065,2
871,5067,2
871,5099,4
871,5111,1
871,5116,3
871,5117,6
871,5124,3
871,5295,2
871,5396,4
871,5419,26
871,5496,20
871,5523,4
871,5567,2
871,5574,3
871,5648,5
871,5651,1
871,5653,2
871,5669,5
871,5861,1
871,5864,3
871,5944,3
871,6014,6
871,6066,12
871,6100,7
871,6106,9
871,6413,3
871,6540,14
871,6565,5
871,6572,4
871,6593,3
871,6602,14
871,6616,1
871,6634,9
871,6655,21
871,6666,7
871,6804,5
871,6806,3
871,6837,9
871,6919,10
871,6995,4
871,7006,3
871,7128,24
871,7135,29
871,7136,4
871,7198,4
871,7233,19
871,7422,6
871,7824,4
871,7929,1
871,7975,8
871,7980,197
871,8034,7
871,8069,25
871,8272,5
871,8307,5
871,8332,6
871,8351,1
871,8432,3
871,8443,4
871,8658,38
871,8707,11
871,8764,4
871,8797,11
871,8854,5
871,9178,15
871,9195,1
871,9233,9
871,9290,10
871,9304,10
871,9311,15
871,9322,12
871,9325,12
871,9412,2
871,9550,8
871,9596,3
871,9667,5
871,9778,26
871,9867,10
871,10008,2
871,10077,1
871,10144,23
871,10381,7
871,10591,22
871,10610,2
871,10646,5
871,10648,3
871,10675,9
871,10804,3
871,10847,6
871,10987,14
871,11011,2
871,11019,7
871,11148,7
871,11151,7
871,11300,8
871,11316,4
871,11385,7
871,11421,12
871,11440,11
871,11458,4
871,11497,1
871,11555,6
871,11562,2
871,11594,5
871,11683,18
871,11748,8
871,11750,5
871,11760,3
871,11792,2
871,11838,8
871,11877,4
871,11890,3
871,11932,1
871,11941,8
871,11977,8
871,11982,3
871,11998,6
871,12027,15
871,12053,15
871,12064,4
871,12126,2
871,12167,4
871,12173,6
871,12177,2
871,12209,3
871,12371,13
871,12623,4
871,12643,48
871,12675,2
871,12694,1
871,12707,21
871,12771,9
871,12790,3
871,12996,3
871,13029,1
871,13116,2
871,13140,5
871,13258,2
871,13286,10
871,13317,4
871,13326,4
871,13411,29
871,13437,3
871,13441,8
871,13448,17
871,13508,4
871,13568,5
871,13569,15
871,13718,12
871,13752,6
871,13809,4
871,13865,6
871,13869,6
871,13921,4
871,13957,9
871,13980,2
871,13991,3
871,13999,3
871,14055,3
871,14081,4
871,14154,4
871,14187,10
871,14368,20
871,14371,2
871,14541,8
871,14601,3
871,14851,2
873,939,1
873,1250,1
873,1460,1
873,1593,3
873,1807,1
873,2010,2
873,2042,2
873,2044,2
873,2164,2
873,2254,2
873,2296,1
873,2495,1
873,2923,1
873,2924,1
873,3038,2
873,3247,1
